property_id,location,city,state,latitude,longitude,area_sqft,bedrooms,bathrooms,floor_number,total_floors,furnishing_status,property_type,balcony_sqft,parking_spaces,amenities_score,nearby_workplace_km,nearby_school_km,nearby_hospital_km,nearby_metro_km,crime_rate,air_quality_index,monthly_rent
P0154,Ahmedabad - central,Ahmedabad,Gujarat,23.032221,72.577413,1305,4,4,1,1,Semi-Furnished,Independent House,38,1,7,6.95,6.73,1.71,9.02,32.5,89,21353
P0155,Surat - central,Surat,Gujarat,21.168103,72.814675,1058,2,2,8,9,Semi-Furnished,Apartment,91,0,7,6.62,1.56,8.88,9.24,34.1,89,16071
P0156,Surat - central,Surat,Gujarat,21.154339,72.819031,908,2,2,1,1,Semi-Furnished,Independent House,57,1,4,4.77,4.23,9.66,17.18,53.5,70,11130
P0157,Rajkot - outskirts,Rajkot,Gujarat,22.333736,70.809834,1408,4,4,3,12,Furnished,Apartment,134,2,5,11.67,6.49,1.44,10.58,56.7,90,14110
P0158,Surendranagar - central,Surendranagar,Gujarat,22.731061,71.67549,1650,2,2,6,11,Unfurnished,Apartment,118,1,1,8.46,4.74,7.86,8.94,61.1,133,7099
P0159,Ahmedabad - central,Ahmedabad,Gujarat,23.037245,72.59665,1029,3,4,10,10,Unfurnished,Apartment,24,1,4,7.38,5.58,0.58,22.24,36.4,96,14350
P0160,Vapi - central,Vapi,Gujarat,20.386803,72.928806,1039,3,4,1,1,Unfurnished,Independent House,81,1,1,8.98,6.21,3.34,30.51,48.6,97,7797
P0161,Rajkot - central,Rajkot,Gujarat,22.328982,70.814478,514,1,1,6,7,Semi-Furnished,Apartment,17,2,4,0.54,1.62,8.36,20.92,46.0,119,5085
P0162,Surat - outskirts,Surat,Gujarat,21.149974,72.835435,332,1,1,8,12,Furnished,Apartment,35,1,6,2.13,7.17,7.54,17.22,39.3,107,4729
P0163,Kheda - outskirts,Kheda,Gujarat,22.745589,72.679423,538,2,2,2,3,Unfurnished,Apartment,45,1,1,3.18,6.46,3.19,38.85,46.9,86,2437
P0164,Surat - central,Surat,Gujarat,21.158127,72.810096,570,2,2,5,8,Semi-Furnished,Apartment,17,0,4,11.86,5.16,8.64,6.53,36.4,31,7419
P0165,Porbandar - outskirts,Porbandar,Gujarat,21.652879,69.612499,1145,3,4,3,3,Semi-Furnished,Apartment,56,1,1,8.89,4.71,9.95,33.56,44.8,139,6096
P0166,Bhavnagar - outskirts,Bhavnagar,Gujarat,21.755817,72.166553,687,1,1,1,1,Furnished,Independent House,11,1,3,9.74,6.13,1.99,28.79,48.3,110,4645
P0167,Vadodara - outskirts,Vadodara,Gujarat,22.328454,73.159442,748,3,3,3,3,Semi-Furnished,Apartment,85,0,5,10.7,4.05,8.7,9.54,45.0,99,8527
P0168,Surat - central,Surat,Gujarat,21.169575,72.846914,250,1,1,1,1,Unfurnished,Independent House,11,1,5,7.69,0.14,2.88,19.03,49.8,120,3269
P0169,Ahmedabad - outskirts,Ahmedabad,Gujarat,23.000236,72.564413,628,2,2,6,6,Semi-Furnished,Apartment,13,2,6,2.45,5.45,6.34,6.22,36.8,58,9667
P0170,Gandhinagar - central,Gandhinagar,Gujarat,23.199059,72.665993,1050,3,3,6,11,Semi-Furnished,Apartment,93,2,2,5.98,6.03,1.82,22.67,49.7,93,11674
P0171,Surat - central,Surat,Gujarat,21.149388,72.842812,695,1,1,10,11,Furnished,Apartment,83,1,6,0.43,5.55,4.28,9.51,30.7,74,10193
P0172,Gandhinagar - central,Gandhinagar,Gujarat,23.243987,72.628375,589,2,2,1,1,Semi-Furnished,Independent House,42,1,1,3.54,6.3,5.08,15.23,52.3,51,6106
P0173,Rajkot - central,Rajkot,Gujarat,22.301305,70.830837,250,1,1,3,3,Furnished,Apartment,7,1,3,11.4,6.26,0.94,18.09,57.9,71,2245
P0174,Surat - central,Surat,Gujarat,21.192909,72.806677,1214,3,3,2,9,Furnished,Apartment,116,0,3,10.25,5.34,1.87,8.94,28.6,96,15368
P0175,Morbi - central,Morbi,Gujarat,22.834236,70.860104,250,1,1,1,1,Unfurnished,Independent House,13,1,3,8.41,0.56,9.44,10.58,42.0,123,2000
P0176,Surat - central,Surat,Gujarat,21.160498,72.832486,839,2,2,8,9,Furnished,Apartment,38,1,7,8.2,6.16,5.85,14.13,56.2,77,11792
P0177,Mehsana - central,Mehsana,Gujarat,23.582038,72.359454,740,3,4,5,5,Unfurnished,Apartment,60,0,1,11.23,4.09,4.8,22.35,60.5,139,4255
P0178,Surat - central,Surat,Gujarat,21.187707,72.85889,529,1,1,8,12,Furnished,Apartment,36,2,6,8.99,0.24,4.15,0.9,23.7,68,7940
P0179,Gandhinagar - outskirts,Gandhinagar,Gujarat,23.185732,72.628208,360,1,1,1,1,Unfurnished,Independent House,24,1,2,7.28,5.76,3.76,11.31,61.0,119,3841
P0180,Gandhinagar - outskirts,Gandhinagar,Gujarat,23.241198,72.657148,530,1,1,4,5,Furnished,Apartment,42,2,2,4.84,3.71,7.86,17.92,57.1,114,5737
P0181,Gandhinagar - outskirts,Gandhinagar,Gujarat,23.225051,72.64327,341,1,1,1,11,Semi-Furnished,Apartment,21,2,3,9.42,7.29,6.98,4.34,50.9,87,3997
P0182,Vadodara - outskirts,Vadodara,Gujarat,22.333331,73.189155,421,1,1,1,1,Unfurnished,Villa,17,1,5,8.46,6.01,3.13,17.54,56.1,61,4612
P0183,Surat - outskirts,Surat,Gujarat,21.172234,72.853749,807,2,3,5,5,Semi-Furnished,Apartment,67,1,8,6.83,4.7,9.44,17.75,31.8,35,12915
P0184,Rajkot - central,Rajkot,Gujarat,22.314432,70.805913,1207,2,2,3,5,Unfurnished,Apartment,41,0,5,9.46,1.71,5.5,8.97,32.8,102,13153
P0185,Surat - outskirts,Surat,Gujarat,21.153733,72.839127,533,2,2,7,9,Semi-Furnished,Apartment,52,2,7,0.83,5.97,2.19,21.72,48.4,62,7705
P0186,Nadiad - central,Nadiad,Gujarat,22.662539,72.85958,343,1,1,3,10,Unfurnished,Apartment,9,1,1,1.61,0.42,2.94,14.25,62.3,144,2000
P0187,Bharuch - central,Bharuch,Gujarat,21.696064,73.018904,1385,4,4,10,10,Semi-Furnished,Apartment,37,1,1,11.49,4.21,7.91,10.58,42.2,97,9566
P0188,Anand - central,Anand,Gujarat,22.589556,72.955599,635,2,3,1,1,Unfurnished,Independent House,6,1,5,10.87,4.95,6.29,38.56,48.4,83,5364
P0189,Rajkot - central,Rajkot,Gujarat,22.311671,70.784991,719,3,3,1,10,Semi-Furnished,Apartment,61,1,7,1.33,7.78,7.78,13.33,41.2,79,8375
P0190,Mehsana - outskirts,Mehsana,Gujarat,23.578319,72.362882,1107,3,4,1,1,Unfurnished,Independent House,22,1,4,1.23,0.53,7.98,24.53,45.6,95,7976
P0191,Gandhinagar - central,Gandhinagar,Gujarat,23.202491,72.662501,1494,4,3,1,1,Furnished,Independent House,92,0,3,10.21,2.93,5.13,7.25,43.6,66,17971
P0192,Rajkot - outskirts,Rajkot,Gujarat,22.281294,70.772502,1128,2,2,5,11,Unfurnished,Apartment,38,2,4,9.58,5.86,3.86,23.74,34.0,81,11630
P0193,Gandhinagar - central,Gandhinagar,Gujarat,23.188863,72.651963,1222,4,4,1,1,Furnished,Independent House,89,1,2,2.37,4.97,2.68,2.87,42.8,69,13921
P0194,Diu - central,Diu,Gujarat,20.725607,70.963144,804,2,2,8,12,Unfurnished,Apartment,44,1,1,3.56,0.65,2.1,22.01,46.6,139,6076
P0195,Junagadh - outskirts,Junagadh,Gujarat,21.543008,70.479423,1134,3,3,5,9,Unfurnished,Apartment,37,2,2,5.66,2.93,3.19,24.31,56.6,131,7027
P0196,Ahmedabad - central,Ahmedabad,Gujarat,23.031734,72.550318,830,2,2,1,1,Unfurnished,Independent House,44,1,10,9.28,1.78,0.56,6.52,49.8,60,14535
P0197,Rajkot - outskirts,Rajkot,Gujarat,22.331964,70.816355,250,1,1,1,8,Unfurnished,Apartment,26,1,3,2.16,4.16,4.57,4.48,59.9,80,2228
P0198,Bhavnagar - central,Bhavnagar,Gujarat,21.784592,72.137699,990,2,2,5,6,Unfurnished,Apartment,55,1,4,0.75,7.85,3.38,29.63,31.9,94,7476
P0199,Junagadh - central,Junagadh,Gujarat,21.509349,70.436914,682,1,1,5,6,Semi-Furnished,Apartment,69,1,1,10.67,0.15,8.84,20.4,52.0,130,4045
P0200,Surat - outskirts,Surat,Gujarat,21.142551,72.835436,1140,3,4,1,1,Semi-Furnished,Independent House,49,1,4,10.03,0.28,0.62,14.34,49.0,112,14202
P0201,Ahmedabad - central,Ahmedabad,Gujarat,23.023148,72.551463,1329,4,4,1,7,Furnished,Apartment,107,1,10,2.79,3.35,1.6,14.57,41.5,45,23964
P0202,Mehsana - outskirts,Mehsana,Gujarat,23.569851,72.368534,775,3,3,5,6,Unfurnished,Apartment,54,1,1,1.34,3.86,6.22,6.37,54.5,75,4555
P0203,Ahmedabad - outskirts,Ahmedabad,Gujarat,23.018029,72.556671,1299,4,4,1,8,Unfurnished,Apartment,81,1,4,9.27,2.87,8.09,22.7,46.8,52,17474
P0204,Porbandar - outskirts,Porbandar,Gujarat,21.643866,69.60808,1367,4,4,3,3,Semi-Furnished,Apartment,98,1,2,9.69,3.33,1.24,19.91,46.8,97,7678
P0205,Gandhinagar - outskirts,Gandhinagar,Gujarat,23.191617,72.637401,684,2,2,5,10,Unfurnished,Apartment,53,1,3,1.83,6.92,1.37,5.74,54.0,38,7929
P0206,Bhuj - outskirts,Bhuj,Gujarat,23.272367,69.673738,441,1,1,1,1,Furnished,Villa,7,2,1,5.34,0.61,2.37,7.8,63.1,112,2197
P0207,Jamnagar - outskirts,Jamnagar,Gujarat,22.499239,70.032911,250,1,1,6,6,Unfurnished,Apartment,17,1,1,6.22,5.62,6.23,28.59,41.2,129,2000
P0208,Surat - central,Surat,Gujarat,21.195983,72.835594,702,2,2,1,1,Furnished,Independent House,11,2,5,11.0,2.85,9.64,6.91,36.3,72,9622
P0209,Surat - central,Surat,Gujarat,21.167843,72.83631,1021,3,3,5,11,Unfurnished,Apartment,103,1,7,11.6,4.55,7.75,18.94,52.3,76,14555
P0210,Ahmedabad - central,Ahmedabad,Gujarat,23.048384,72.569993,1416,2,2,7,8,Unfurnished,Apartment,101,0,8,10.02,2.06,1.11,16.84,41.7,71,23473
P0211,Vadodara - outskirts,Vadodara,Gujarat,22.323055,73.183688,784,2,2,3,6,Furnished,Apartment,31,1,8,2.04,0.94,9.22,16.9,38.9,62,10498
P0212,Ahmedabad - central,Ahmedabad,Gujarat,23.03368,72.551888,561,2,2,1,1,Unfurnished,Villa,16,1,6,0.84,6.41,4.89,13.52,30.0,79,8836
P0213,Veraval - outskirts,Veraval,Gujarat,20.892339,70.38126,307,0,1,6,8,Unfurnished,Apartment,14,1,1,5.76,4.94,3.79,22.46,57.3,144,2000
P0214,Vadodara - central,Vadodara,Gujarat,22.330796,73.189039,1255,2,3,1,1,Unfurnished,Independent House,61,1,6,9.64,5.93,4.84,0.24,41.3,98,15217
P0215,Jamnagar - central,Jamnagar,Gujarat,22.447974,70.079742,596,1,1,1,3,Unfurnished,Apartment,40,1,2,4.15,2.95,5.69,37.61,50.4,105,3777
P0216,Kheda - central,Kheda,Gujarat,22.748309,72.695239,385,1,1,8,11,Unfurnished,Apartment,24,0,1,7.44,3.76,9.57,35.39,38.9,62,2000
P0217,Rajkot - outskirts,Rajkot,Gujarat,22.317566,70.811921,1222,3,3,5,7,Unfurnished,Apartment,57,2,5,4.49,4.74,9.66,10.35,46.9,96,12685
P0218,Bharuch - outskirts,Bharuch,Gujarat,21.688861,73.010156,1111,2,2,1,1,Semi-Furnished,Independent House,15,1,2,11.95,0.92,6.26,7.95,61.0,93,7621
P0219,Rajkot - central,Rajkot,Gujarat,22.311763,70.810351,658,1,1,1,1,Semi-Furnished,Independent House,28,1,4,3.41,3.61,9.7,17.44,52.0,122,6372
P0220,Junagadh - central,Junagadh,Gujarat,21.522016,70.473228,679,2,2,4,4,Semi-Furnished,Apartment,41,1,1,6.38,6.09,1.54,15.04,35.6,92,4264
P0221,Vadodara - outskirts,Vadodara,Gujarat,22.325654,73.192278,1060,2,2,7,11,Semi-Furnished,Apartment,38,1,2,4.66,2.18,4.34,5.99,48.0,37,10163
P0222,Vadodara - outskirts,Vadodara,Gujarat,22.303505,73.151692,1049,2,2,10,10,Semi-Furnished,Apartment,94,1,3,2.0,7.76,0.42,24.31,45.0,104,10763
P0223,Ahmedabad - central,Ahmedabad,Gujarat,22.993257,72.599876,985,3,4,2,3,Furnished,Apartment,93,1,9,4.83,4.39,1.98,22.39,40.0,104,17139
P0224,Nadiad - central,Nadiad,Gujarat,22.669528,72.860474,1197,2,2,1,1,Furnished,Independent House,67,1,1,11.54,7.5,1.75,30.49,51.6,72,7109
P0225,Vadodara - central,Vadodara,Gujarat,22.292123,73.181195,1461,2,2,1,3,Unfurnished,Apartment,114,1,5,11.63,4.69,6.97,17.21,55.6,127,16036
P0226,Mehsana - central,Mehsana,Gujarat,23.570884,72.39352,1563,2,2,2,11,Furnished,Apartment,67,1,1,9.13,6.46,4.5,11.75,48.5,82,9386
P0227,Bhavnagar - central,Bhavnagar,Gujarat,21.772782,72.144643,728,2,2,8,8,Semi-Furnished,Apartment,75,1,4,1.01,1.32,3.1,14.22,50.2,101,5160
P0228,Surat - central,Surat,Gujarat,21.196468,72.811818,1330,2,2,7,11,Furnished,Apartment,117,1,4,3.54,3.34,3.36,2.41,39.9,76,17105
P0229,Ahmedabad - central,Ahmedabad,Gujarat,23.014156,72.586009,936,3,4,5,12,Furnished,Apartment,39,1,7,11.07,5.28,9.3,20.8,26.0,87,15650
P0230,Vapi - outskirts,Vapi,Gujarat,20.41715,72.907505,938,3,3,1,1,Unfurnished,Independent House,14,1,1,1.39,1.93,3.98,11.76,44.8,76,7134
P0231,Junagadh - outskirts,Junagadh,Gujarat,21.543191,70.452641,953,3,4,2,4,Unfurnished,Apartment,71,1,1,6.5,4.84,9.35,36.59,18.2,74,6339
P0232,Gandhinagar - outskirts,Gandhinagar,Gujarat,23.198913,72.658243,767,2,2,3,7,Unfurnished,Apartment,49,1,4,11.8,4.81,5.27,24.84,46.3,118,9647
P0233,Ahmedabad - outskirts,Ahmedabad,Gujarat,23.021452,72.570697,781,2,2,2,5,Semi-Furnished,Apartment,85,1,6,3.74,4.61,5.78,5.44,47.8,90,11571
P0234,Palanpur - outskirts,Palanpur,Gujarat,24.191969,72.461619,975,3,2,1,1,Semi-Furnished,Independent House,62,1,1,10.58,3.53,9.32,9.22,55.6,65,4281
P0235,Gandhinagar - outskirts,Gandhinagar,Gujarat,23.20577,72.635451,1359,3,3,4,11,Furnished,Apartment,118,2,3,9.08,4.64,1.08,10.8,50.3,84,15965
P0236,Navsari - central,Navsari,Gujarat,20.972148,72.928176,868,3,4,4,5,Semi-Furnished,Apartment,59,1,3,7.47,5.91,2.61,7.51,53.5,82,6480
P0237,Anand - central,Anand,Gujarat,22.57186,72.907761,696,1,1,8,8,Unfurnished,Apartment,44,1,2,8.29,1.33,7.34,8.0,51.5,85,4943
P0238,Surendranagar - central,Surendranagar,Gujarat,22.735912,71.620209,500,2,2,6,6,Semi-Furnished,Apartment,20,1,3,5.9,5.87,1.59,29.46,66.6,110,2371
P0239,Surat - central,Surat,Gujarat,21.170712,72.843681,1035,2,2,1,1,Furnished,Independent House,58,2,4,4.45,0.95,3.07,22.09,20.4,128,14206
P0240,Palanpur - central,Palanpur,Gujarat,24.171075,72.454614,759,2,2,1,3,Furnished,Apartment,55,1,1,2.05,2.84,3.65,26.88,55.9,175,3329
P0241,Gandhinagar - outskirts,Gandhinagar,Gujarat,23.219974,72.632488,1467,2,3,1,1,Furnished,Independent House,49,1,1,8.81,4.21,6.84,21.82,45.0,74,15609
P0242,Vadodara - outskirts,Vadodara,Gujarat,22.31064,73.208116,698,1,1,2,6,Semi-Furnished,Apartment,63,1,4,11.95,7.81,1.62,23.33,53.6,81,7331
P0243,Ahmedabad - central,Ahmedabad,Gujarat,23.008512,72.575423,1368,3,4,5,9,Semi-Furnished,Apartment,155,2,5,3.43,6.25,1.25,4.62,41.1,45,19761
P0244,Surat - central,Surat,Gujarat,21.197212,72.814453,755,3,3,1,1,Semi-Furnished,Independent House,41,1,5,5.79,1.39,2.42,10.21,63.9,71,9376
P0245,Anand - central,Anand,Gujarat,22.573084,72.941147,970,3,4,8,8,Unfurnished,Apartment,60,1,2,9.93,5.79,4.06,37.87,40.8,90,7153
P0246,Ahmedabad - central,Ahmedabad,Gujarat,23.047642,72.582797,250,1,1,3,3,Semi-Furnished,Apartment,24,1,8,5.39,7.09,7.78,7.15,44.2,98,4108
P0247,Palanpur - central,Palanpur,Gujarat,24.179915,72.448588,794,2,2,3,11,Semi-Furnished,Apartment,41,0,1,5.55,7.18,8.98,35.89,61.0,118,3417
P0248,Surat - outskirts,Surat,Gujarat,21.186349,72.804179,1426,4,4,9,9,Unfurnished,Apartment,51,1,8,2.22,2.75,8.74,21.57,44.4,94,21857
P0249,Vadodara - outskirts,Vadodara,Gujarat,22.301809,73.155964,1220,2,2,1,6,Unfurnished,Apartment,55,2,4,6.61,0.15,8.85,5.95,36.4,76,13611
P0250,Gandhinagar - central,Gandhinagar,Gujarat,23.225925,72.643565,368,1,1,1,5,Unfurnished,Apartment,8,1,2,10.09,2.46,9.22,1.23,43.6,105,4181
P0251,Mehsana - central,Mehsana,Gujarat,23.582553,72.364425,958,3,4,1,3,Unfurnished,Apartment,50,2,1,9.15,6.76,0.84,21.48,66.3,138,5389
P0252,Surat - central,Surat,Gujarat,21.16975,72.811894,1386,4,4,12,12,Semi-Furnished,Apartment,112,1,7,11.94,2.9,1.47,14.07,27.5,78,21522
P0253,Gandhinagar - outskirts,Gandhinagar,Gujarat,23.200865,72.61097,922,2,2,1,1,Unfurnished,Independent House,22,1,3,0.74,2.86,8.1,5.31,39.3,68,11257
P0254,Vadodara - central,Vadodara,Gujarat,22.314832,73.204723,921,3,3,1,1,Unfurnished,Independent House,11,1,3,4.19,5.41,9.18,19.93,39.0,69,9648
P0255,Jamnagar - central,Jamnagar,Gujarat,22.491244,70.061959,987,2,3,1,8,Furnished,Apartment,87,2,1,4.37,7.76,2.95,6.09,64.5,97,5590
P0256,Rajkot - central,Rajkot,Gujarat,22.286026,70.777756,1340,4,4,1,1,Semi-Furnished,Independent House,21,1,2,9.99,2.49,5.35,4.38,44.1,96,11940
P0257,Jamnagar - outskirts,Jamnagar,Gujarat,22.483521,70.059041,1091,3,4,1,1,Semi-Furnished,Independent House,70,2,2,9.9,7.51,6.83,9.65,48.7,73,6956
P0258,Ahmedabad - outskirts,Ahmedabad,Gujarat,23.038867,72.581667,692,1,1,1,1,Furnished,Independent House,44,1,5,9.15,5.15,2.26,5.01,37.2,110,10131
P0259,Surat - central,Surat,Gujarat,21.194398,72.804127,1658,4,4,6,8,Semi-Furnished,Apartment,189,1,9,2.22,2.56,8.94,13.51,43.8,84,26573
P0260,Rajkot - central,Rajkot,Gujarat,22.279736,70.790824,413,2,2,6,6,Unfurnished,Apartment,41,0,6,11.09,6.14,5.76,2.32,51.0,55,4436
P0261,Gandhinagar - outskirts,Gandhinagar,Gujarat,23.202535,72.627817,250,1,1,7,8,Furnished,Apartment,27,2,3,4.03,3.95,0.84,2.82,29.8,104,3152
P0262,Junagadh - central,Junagadh,Gujarat,21.551312,70.461933,374,1,1,5,7,Semi-Furnished,Apartment,29,1,3,2.08,3.91,0.85,12.29,46.8,76,2542
P0263,Vadodara - outskirts,Vadodara,Gujarat,22.282632,73.200222,1176,3,3,2,8,Unfurnished,Apartment,44,1,6,1.48,6.53,7.76,9.47,31.3,93,14753
P0264,Vapi - outskirts,Vapi,Gujarat,20.415207,72.933417,894,2,2,4,7,Unfurnished,Apartment,57,2,1,3.74,6.38,6.86,37.15,66.7,88,6277
P0265,Junagadh - outskirts,Junagadh,Gujarat,21.535206,70.452262,250,1,1,1,1,Unfurnished,Independent House,2,2,2,1.49,2.33,0.51,20.11,38.7,82,2000
P0266,Rajkot - central,Rajkot,Gujarat,22.282133,70.820556,1001,3,4,3,9,Semi-Furnished,Apartment,107,1,5,7.85,1.24,8.87,16.45,51.3,89,10229
P0267,Valsad - outskirts,Valsad,Gujarat,20.628294,72.938689,589,1,1,7,10,Semi-Furnished,Apartment,22,1,1,10.19,1.97,5.12,19.38,42.8,97,4060
P0268,Mehsana - central,Mehsana,Gujarat,23.600821,72.387486,291,1,1,1,1,Unfurnished,Villa,18,1,2,10.7,0.8,4.83,30.96,55.9,101,2000
P0269,Vadodara - central,Vadodara,Gujarat,22.292827,73.188958,514,2,2,1,1,Semi-Furnished,Independent House,17,2,6,3.68,1.42,7.01,14.94,40.2,133,6256
P0270,Junagadh - central,Junagadh,Gujarat,21.519299,70.47637,715,2,2,2,11,Unfurnished,Apartment,34,1,1,10.32,0.21,1.29,11.11,45.7,93,4337
P0271,Surat - outskirts,Surat,Gujarat,21.160905,72.839636,250,1,1,5,5,Unfurnished,Apartment,8,2,7,9.29,1.98,4.51,15.94,45.5,122,3651
P0272,Navsari - central,Navsari,Gujarat,20.935641,72.954615,1099,3,3,1,1,Unfurnished,Independent House,28,1,3,3.3,4.29,4.46,15.11,54.9,80,8163
P0273,Ankleshwar - central,Ankleshwar,Gujarat,21.615663,73.040693,533,2,2,3,7,Semi-Furnished,Apartment,53,1,1,5.64,5.43,2.57,28.52,55.1,76,3126
P0274,Vadodara - central,Vadodara,Gujarat,22.319685,73.158399,1049,3,3,6,10,Furnished,Apartment,50,1,4,1.28,7.51,6.63,20.89,59.6,81,10779
P0275,Valsad - central,Valsad,Gujarat,20.57404,72.951226,423,1,1,3,7,Semi-Furnished,Apartment,48,2,1,3.46,3.47,9.05,31.95,49.4,117,2849
P0276,Rajkot - central,Rajkot,Gujarat,22.278125,70.815853,1828,3,3,5,6,Semi-Furnished,Apartment,154,1,6,5.29,4.95,1.24,11.04,45.8,98,20001
P0277,Porbandar - central,Porbandar,Gujarat,21.611898,69.631449,318,0,1,3,5,Unfurnished,Apartment,24,2,1,5.99,3.54,8.47,32.33,56.2,76,2000
P0278,Morbi - central,Morbi,Gujarat,22.79756,70.861153,250,1,1,3,4,Semi-Furnished,Apartment,29,0,1,5.62,6.16,6.55,11.18,63.0,113,2000
P0279,Vapi - outskirts,Vapi,Gujarat,20.362523,72.877363,793,3,4,1,6,Unfurnished,Apartment,62,1,2,6.58,2.53,5.43,34.2,20.6,129,6952
P0280,Bhuj - central,Bhuj,Gujarat,23.227861,69.675827,1434,4,4,1,1,Unfurnished,Independent House,68,1,3,1.05,5.91,4.99,5.67,65.1,87,7977
P0281,Ahmedabad - outskirts,Ahmedabad,Gujarat,23.011954,72.599951,1512,2,2,2,12,Unfurnished,Apartment,46,1,5,2.8,6.46,4.38,20.29,55.0,75,20790
P0282,Junagadh - central,Junagadh,Gujarat,21.53916,70.428838,1266,2,2,3,4,Furnished,Apartment,77,1,1,5.38,7.41,0.6,8.5,58.4,72,7335
P0283,Bhavnagar - central,Bhavnagar,Gujarat,21.764493,72.178918,974,3,3,1,1,Unfurnished,Independent House,56,1,3,6.37,3.36,9.39,26.37,56.6,104,6391
P0284,Gandhinagar - outskirts,Gandhinagar,Gujarat,23.194553,72.657527,877,2,2,1,1,Unfurnished,Villa,46,2,3,6.19,3.77,6.34,5.2,53.6,102,10181
P0285,Palanpur - central,Palanpur,Gujarat,24.194705,72.449184,1386,2,2,5,9,Semi-Furnished,Apartment,139,1,4,8.94,7.41,1.92,32.49,48.6,108,7410
P0286,Gandhinagar - central,Gandhinagar,Gujarat,23.196284,72.629309,1090,3,3,1,6,Furnished,Apartment,66,2,5,1.07,4.72,0.73,10.9,51.9,131,14146
P0287,Bhavnagar - central,Bhavnagar,Gujarat,21.744696,72.180108,700,3,3,2,3,Furnished,Apartment,73,1,3,4.25,7.1,6.12,32.63,41.6,74,4845
P0288,Valsad - central,Valsad,Gujarat,20.569905,72.963411,1188,2,2,1,1,Semi-Furnished,Independent House,72,1,1,4.06,4.68,8.94,25.71,59.7,130,7707
P0289,Ahmedabad - central,Ahmedabad,Gujarat,22.997944,72.570187,912,3,3,1,1,Unfurnished,Independent House,38,1,7,0.35,5.88,9.51,3.32,35.9,114,14752
P0290,Vadodara - outskirts,Vadodara,Gujarat,22.322373,73.193083,1316,2,3,4,5,Furnished,Apartment,141,1,2,0.22,5.06,3.97,17.27,37.8,87,13074
P0291,Gandhinagar - central,Gandhinagar,Gujarat,23.199918,72.613713,1061,3,4,1,8,Furnished,Apartment,60,1,5,2.27,4.51,0.86,17.73,56.9,165,13522
P0292,Bhavnagar - outskirts,Bhavnagar,Gujarat,21.784023,72.175867,250,1,1,5,8,Semi-Furnished,Apartment,15,0,1,4.6,3.67,5.11,34.03,38.4,106,2000
P0293,Rajkot - central,Rajkot,Gujarat,22.331026,70.773561,615,1,1,1,1,Furnished,Independent House,22,2,2,1.11,1.4,1.3,3.7,50.0,105,5367
P0294,Rajkot - outskirts,Rajkot,Gujarat,22.315712,70.822714,1312,3,3,2,7,Furnished,Apartment,140,2,3,7.81,3.35,3.56,16.15,39.8,121,12564
P0295,Rajkot - central,Rajkot,Gujarat,22.315472,70.812181,1376,2,3,5,8,Unfurnished,Apartment,34,1,6,2.16,7.4,7.18,7.13,64.9,83,14044
P0296,Surat - central,Surat,Gujarat,21.186311,72.857967,1237,2,2,5,6,Unfurnished,Apartment,107,1,7,5.49,7.81,5.43,3.04,64.3,92,16872
P0297,Bharuch - central,Bharuch,Gujarat,21.718998,73.01991,1393,4,4,1,1,Semi-Furnished,Independent House,42,2,1,6.97,1.26,5.74,36.74,37.7,117,9772
P0298,Ahmedabad - central,Ahmedabad,Gujarat,23.023207,72.553067,755,2,2,3,3,Unfurnished,Apartment,59,2,8,3.48,0.28,5.48,11.14,38.0,70,12676
P0299,Vadodara - outskirts,Vadodara,Gujarat,22.321692,73.176137,1719,3,3,1,1,Semi-Furnished,Independent House,63,0,3,4.27,2.53,4.57,14.03,50.5,143,17297
P0300,Rajkot - central,Rajkot,Gujarat,22.298771,70.805549,782,3,3,2,4,Furnished,Apartment,52,2,1,0.98,7.68,7.61,2.21,27.3,121,6944
P0301,Nadiad - outskirts,Nadiad,Gujarat,22.702155,72.848861,1067,3,3,7,7,Semi-Furnished,Apartment,74,1,2,9.54,1.32,3.14,27.42,48.6,94,6806
P0302,Surat - outskirts,Surat,Gujarat,21.141253,72.816672,841,3,3,1,1,Semi-Furnished,Villa,29,1,6,3.24,5.52,9.75,20.46,30.1,112,12359
P0303,Junagadh - central,Junagadh,Gujarat,21.542109,70.468998,303,1,1,1,8,Semi-Furnished,Apartment,22,1,3,9.24,1.55,1.13,31.34,31.0,87,2174
P0304,Vadodara - outskirts,Vadodara,Gujarat,22.327085,73.182739,832,3,4,5,11,Semi-Furnished,Apartment,56,2,4,1.41,1.32,2.37,4.71,57.0,71,8631
P0305,Jamnagar - central,Jamnagar,Gujarat,22.489574,70.041041,907,3,4,1,5,Semi-Furnished,Apartment,46,2,1,10.7,4.82,7.68,16.97,49.9,95,5420
P0306,Valsad - central,Valsad,Gujarat,20.587699,72.905216,930,2,3,1,4,Furnished,Apartment,63,1,2,0.59,5.31,6.01,21.42,54.5,99,6533
P0307,Ahmedabad - central,Ahmedabad,Gujarat,23.027188,72.542239,472,1,1,2,4,Unfurnished,Apartment,53,1,6,2.09,4.06,7.34,6.05,35.9,75,7288
P0308,Surat - central,Surat,Gujarat,21.164655,72.846785,728,2,3,5,6,Unfurnished,Apartment,49,1,9,8.15,0.95,8.38,24.53,30.8,96,12198
